train_start,train_end,val_start,val_end,sharpe_val,rentabilidad_val,volatilidad_val,capital_final,mejor_label
2011-07-03,2015-07-03,2015-07-06,2016-07-01,0.03490922400761169,0.0442374671772453,0.012672132803174214,9870.097487932164,"Penalización β=10.0, γ=1.0"
2011-10-03,2015-10-05,2015-10-06,2016-10-03,0.03699421902105473,0.042826753434360765,0.01157659698553645,10821.299118583098,"Penalización β=10.0, γ=1.0"
2012-01-03,2016-01-06,2016-01-07,2017-01-03,0.05958848473145456,0.08523092173778592,0.014303243744728243,13097.63923607274,"Penalización β=1.0, γ=10.0"
2012-04-03,2016-04-07,2016-04-08,2017-04-03,0.1160975073074875,0.12070830382239622,0.010397138622898242,17568.757461794856,"Penalización β=10.0, γ=10.0"
2012-07-03,2016-07-04,2016-07-05,2017-07-03,0.19743805265224806,0.16299062730394262,0.008255269319991146,26384.787801102062,"Penalización β=10.0, γ=1.0"
2012-10-03,2016-10-04,2016-10-05,2017-10-03,0.1610974990102749,0.12251306642980977,0.007604891825446453,35790.89497213736,"Penalización β=10.0, γ=10.0"
2013-01-03,2017-01-02,2017-01-03,2018-01-03,0.1375291460830776,0.09536771395169524,0.006934353854341554,45361.97484317115,"Penalización β=10.0, γ=0.0"
2013-04-03,2017-03-29,2017-03-30,2018-04-03,0.06528899514842512,0.05402148592548616,0.008274200041474233,51609.11062814248,"Penalización β=0.1, γ=0.0"
2013-07-03,2017-06-30,2017-07-03,2018-07-03,0.06349306831711567,0.05123594544991911,0.008069523699965728,58326.29138547019,"Penalización β=0.1, γ=1.0"
2013-10-03,2017-09-29,2017-10-02,2018-10-03,0.07555587109475162,0.05915474715470488,0.007829262073446318,67293.66304177986,"Penalización β=10.0, γ=1.0"
2014-01-03,2017-12-29,2018-01-02,2019-01-03,0.024063570204220293,0.0187139781116862,0.007776881771614224,70041.54403014526,"Penalización β=0.1, γ=10.0"
2014-04-03,2018-04-03,2018-04-04,2019-04-03,0.13719157672810353,0.09902413721972422,0.0072179358521697445,89555.788718194,"Penalización β=1.0, γ=10.0"
2014-07-03,2018-06-29,2018-07-02,2019-07-03,0.0912177654994091,0.06708867000217995,0.007354771125680451,105532.56894132952,"Penalización β=0.1, γ=1.0"
2014-10-03,2018-10-02,2018-10-03,2019-10-03,0.08953111268602512,0.06578581228025772,0.007347805782314767,123947.68536455379,"Penalización β=10.0, γ=10.0"
2015-01-03,2019-01-03,2019-01-04,2020-01-03,0.20209574504332314,0.13403020349098874,0.006632005110573296,173438.79480206844,"Penalización β=1.0, γ=0.0"
2015-04-03,2019-04-04,2019-04-05,2020-04-03,-0.023263672852680547,-0.03756876985897518,0.016149103726316148,152299.78276735163,"Penalización β=0.1, γ=10.0"
2015-07-03,2019-07-04,2019-07-05,2020-07-03,0.02292105721860846,0.03876059759055945,0.016910465472785633,161969.24250208662,"Penalización β=0.1, γ=0.0"
2015-10-03,2019-10-03,2019-10-04,2020-10-02,-0.006820107482588649,-0.012349553341954637,0.01810755410141974,150390.05418588303,"Penalización β=10.0, γ=10.0"
2016-01-03,2020-01-02,2020-01-03,2020-12-31,0.005879063487007788,0.013884508018615845,0.023616860355796267,145031.9392384724,"Penalización β=10.0, γ=10.0"
2016-04-03,2020-04-01,2020-04-02,2021-04-01,0.10804205330893128,0.1638569475148924,0.015166024196551796,213927.3777132765,"Penalización β=0.1, γ=0.0"
2016-07-03,2020-07-03,2020-07-06,2021-07-02,0.08918680968794113,0.15077354546563654,0.01690535369595273,303188.4884874157,"Penalización β=0.1, γ=0.0"
2016-10-03,2020-10-02,2020-10-05,2021-10-01,0.14602480497865034,0.20454448344274,0.014007506289622546,498208.7974185054,"Penalización β=1.0, γ=1.0"
2017-01-03,2021-01-04,2021-01-05,2022-01-03,0.11933922545375832,0.10843183703323105,0.009086008165523149,649954.77108653,"Penalización β=10.0, γ=1.0"
2017-04-03,2021-04-06,2021-04-07,2022-04-01,0.07522053897929903,0.08311052035074945,0.011048903166339018,790960.1309198561,"Penalización β=0.1, γ=1.0"
2017-07-03,2021-07-02,2021-07-05,2022-07-01,0.06795211121164053,0.07098766244389913,0.010446709193580934,934820.4236856088,"Penalización β=0.1, γ=10.0"
2017-10-03,2021-10-04,2021-10-05,2022-10-03,0.009588473412432446,0.012705522237068721,0.013250819084632699,944283.9037990676,"Penalización β=0.1, γ=10.0"
2018-01-03,2022-01-04,2022-01-05,2023-01-03,0.07172444280487583,0.10827694884604408,0.015096231199197356,1210055.2436270188,"Penalización β=0.1, γ=10.0"
2018-04-03,2022-04-04,2022-04-05,2023-04-03,0.09752873412894507,0.10764901560516012,0.011037661776077273,1569175.7488304551,"Penalización β=10.0, γ=0.0"
2018-07-03,2022-07-01,2022-07-04,2023-07-03,0.12819068066128905,0.1295045797335341,0.01010248567795936,2157266.4317099373,"Penalización β=1.0, γ=0.0"
2018-10-03,2022-10-03,2022-10-04,2023-10-03,0.1349448769774988,0.13303251970244392,0.009858276041094115,2994376.4494094155,"Penalización β=0.1, γ=10.0"
